行號,原文,原文長度,重點整理,處理時間,原始_20到50字的簡述(chatgpt-5),原始_全段主題,原始_總主題,原始_Unnamed: 4
1,主席（林委員昶佐）：大家好！先感謝大家在今天這個風雨交加的天氣還都來參加今天的會議。大家應該手上都有議程或是在電腦上面都有。哇！這應該是我開所有的立法院會議裡面，第一次看到差不多每個人手上都有一台電腦的景象，所以Isabelle，你趕快把它打開。沒事，我只是說這個景象還滿驚人的、滿好的。大家手上應該都有今天的議程，在議程開始之前還是跟各位介紹一下今天的新朋友，上個禮拜他們也參加了招募之後的訓練，我想就不用介紹背景了，因為大家在之前招募過程的討論也都已經知道。首先是簡信昌，也是第一高票，對不起！我想是統統都有公布，我也不知道。接著介紹彭啟明老師、葛傳宇，聾人協會今天也是牛先生嗎？謝謝。接著介紹廖郁雯及王文岳。,307,"## 會議記錄整理

### 核心要點  
1. 會議開場強調科技參與與參與度提升 - 主席指出這是立法院歷來首次見到幾乎每位與會者手持電腦，反映會議參與的現代化與數位化進展。  
2. 新朋友介紹與招募成果確認 - 會議正式介紹上週通過招募訓練的新成員，包括簡信昌、彭啟明、葛傳宇、廖郁雯及王文岳，強調其背景與參與資格。  
3. 聾人協會代表參與 - 明確提及聾人協會代表出席，顯示多元族群與殘障權益的納入，提升會議包容性。  
4. 議程說明與準備確認 - 與會者皆持有議程文件，會議開場即確認議程已發放，確保參與者清楚會議流程與議題。  
5. 天氣與參與氛圍的正面評價 - 雖為風雨天，但與會者仍積極參與，主席以正面語氣肯定參與熱忱與會議氣氛。

### 決策事項  
- 無

### 行動項目  
- Isabelle 負責即時開啟會議系統並確認數位設備運作正常（由主席指示）  
- 會議紀錄人員需確認與會者名單與新成員資訊，並於會後補充整理至官方紀錄

### 總結  
本次會議以高參與度與數位化設備使用為特色，正式介紹新加入成員，強調多元與現代化會議氛圍。",2025-09-11 16:36:31,主席林昶佐感謝與會，提及新朋友加入，並介紹簡信昌、彭啟明、葛傳宇、廖郁雯與王文岳。,「首次委員會會議：成員介紹與經費籌措討論」,「委員會首次會議：經費分擔、IRM獨立運作與五大主題分組」,
2,我們今天主要應該就是把廣泛意見的蒐集回饋整理一下。大家看一下今天的會議流程，第一個是廣泛意見蒐集的回饋，包括線上的跟北中南的Focus Group，我們都有整理起來。第二個是本委員會會議相關的開支跟經費的籌措。我知道慈庸應該覺得這個非常重要，所以把它插在「一」跟「三」之間，不然我覺得「一」完應該就是「三」才對。第三就是要把我們第一個整理出來的一些東西討論以後，應該就要分門別類放到第三個裡面，也就是我們之後的一些分組。那在9月份的時候，我們原則上應該是要把第一個版本生產出來，所以第一個版本生產出來的那個架構、提綱、分組等等就是在今天議程的第三項。第四個是關於擬定IRM機制的期程。因為我們預計11月底要完成開放國會行動方案，所以獨立報告的撰寫期程大概就從11月底以後會開始，我們在這之前可能也要稍為規劃一下期程。第五就是下次開會的時間、地點。我們是不是可以把「二」跟「三」調換一下？我們直接進入今天的重點好了。「二」如果來不及討論的話，就交給我跟慈庸再想一下。,432,"## 會議記錄整理

### 核心要點  
1. 整合廣泛意見回饋（含線上與北中南Focus Group）— 作為分組與內容設計的基礎資料，需在9月完成初步版本。  
2. 明確規劃IRM機制撰寫期程 — 以11月底開放國會行動方案為起點，提前規劃獨立報告撰寫時程。  
3. 調整會議議程順序 — 建議將經費籌措（原第二項）與意見整理（原第三項）交換位置，聚焦於當前重點議題。  
4. 建立分組架構與提綱 — 基於意見回饋內容，於9月完成分門別類與初步分組設計，作為後續工作依據。  
5. 明確下次會議時間與地點 — 需在會議中確認，若無法當場決定則由慈庸與主辦人後續補充。

### 決策事項  
- 會議議程順序調整：將「經費籌措」與「意見整理」調換，優先處理意見回饋與分組設計。

### 行動項目  
- 主辦人與慈庸負責釐清並規劃IRM機制撰寫期程，確保與11月底開放國會行動方案同步。  
- 整合線上與北中南Focus Group意見，於9月內完成第一版內容提綱與分組架構。  
- 確定下次會議的時間與地點，並於會後補充正式通知。

### 總結  
本次會議聚焦於意見回饋整合、分組架構設計與IRM機制期程規劃，並調整議程以提升討論效率。",2025-09-11 16:36:49,會議重點為意見回饋整理、經費籌措、分組架構、IRM期程及下次會議安排。,,,
3,主席（洪顧問慈庸）：這個應該不會花太久時間，但是因為我覺得這是必要的討論，所以我先說明一下，等一下再直接進到我們今天最重要的議程，大家同意嗎？同意。周老師找個位置，夠嗎？可以，好。我先講一下就是……這邊還有一個位置，不要害怕！坐在孫中山前面，壓力有點大。我先跟大家報告，我們第一屆的開放國會的委員會今天是第一次會議，在今天之前的都是籌備會，之前的委員都是籌備委員，今天是我們正式的第一次會議。除了19位民間的委員之外，在立法院裡面有7位，就是7個代表是行政部門的單位，包含的四個黨團以及Freddy，還有院長辦公室、國際事務小組，總共25個成員。這一個委員會其實是一個公私協力所組成的，所以它其實是一個很獨立的單位，我們針對現在這個會議相關產生的一些費用和支出先跟大家簡要說明，因為今天有新到的委員。目前我們會議的場地基本上都是用立法院的空間來進行會議，所以不會有開會的一些費用產生，我們當然就是用這邊的議事空間和行政人員的協助。先前有產生幾個費用跟大家做一個報告，一個是我們一些文件的翻譯，因為現在我們有參與OGP的一些國際的英文文件,468,"## 會議記錄整理

### 核心要點  
1. 正式成立第一屆開放國會委員會 - 今日為該委員會首次正式會議，標誌著從籌備階段進入運作階段。  
2. 委員組成結構明確 - 共25人，含19位民間委員與7位立法院行政部門代表（含四黨團、Freddy及院長辦公室、國際事務小組）。  
3. 委員會具公私協力性質 - 為獨立運作單位，結合民間與政府資源，提升政策透明與參與度。  
4. 會議場地與行政支援由立法院提供 - 無額外開會費用，降低運作成本，強化執行可行性。  
5. 需處理文件翻譯成本 - 因參與OGP國際計畫，需翻譯英文文件，已列入初步預算說明。

### 決策事項  
- 未明確決議任何具體政策或行動方向，僅確認會議正式運作與組成架構。

### 行動項目  
- 製定會議文件翻譯預算與執行計畫（含英文文件翻譯範圍與時程）。  
- 設定未來會議運作規範與議事流程，作為後續運作依據。

### 總結  
今日正式成立第一屆開放國會委員會，確立公私協力架構與運作基礎，並啟動文件翻譯等初步行政規劃。",2025-09-11 16:37:05,洪顧問說明本委員會首次正式會議，25名成員組成，並簡要報告翻譯等相關費用。,,,
4,"像上次我們的toolkit和未來我們要把行動方案轉成英文提交的時候，都會產生翻譯的費用，這些費用現在就是由我們立法院秘書處來幫忙，所以這筆費用未來我們都已經談定了。當然現在會遇到一個問題就是，目前因為有聾人協會的參與，每次會議我們需要有翻譯人員的費用，所以未來就是會有這筆費用產生，以及到後面可能在IRM機制的時候，我們要做獨立審查可能也會產生部分的費用。
這個部分君陽在上一次的會議當中有報告，但是今天有新到任的委員，所以我們還是必須再repeat一下，就是IRM未來會產生費用，所以在這個過程當中，可能會隨著不同的時間點產生一些不同的費用。我今天希望跟大家討論的是，因為這樣的一個單位其實算是一個公私協力、大家一起來組成，它是一個獨立的單位，我會希望大家是不是討論一下未來這一個單位的一些費用，我們是不是應該去申請一些計畫來支撐這樣一個MSF日常的營運？因為我認為這個委員會即便今年過完還有下一年，然後還有下下一年等等，可能在下一屆之後它還是要維持日常的一些運作，所以我想要跟大家討論，是不是我們未來經費的部分是透過計畫來支持？這部分想要跟大家來做比較進一步的討論，看大家有沒有什麼意見？君陽要不要先說明一下那個IRM，因為有新到的委員。",521,"## 會議記錄整理

### 核心要點  
1. IRM單位未來將產生持續性運作費用 – 包含翻譯、獨立審查等成本，需長期規劃財源。  
2. 現行翻譯費用由立法院秘書處負擔，但未來將因聾人協會參與及IRM機制運作而產生新增開支。  
3. 建議透過申請計畫方式支撐IRM的日常營運 – 以確保其長期穩定運作，而非僅依年度預算。  
4. IRM為公私協力成立之獨立單位，需凝聚委員共識，討論其經費來源與支持模式。  
5. 未來經費是否以計畫申請方式支撐，將成為會議重點討論議題，需集體決策。

### 決策事項  
- 未形成明確決策，僅提出「未來應討論是否透過計畫申請支撐IRM日常營運」之議題。

### 行動項目  
- 君陽需進一步說明IRM之運作內容與預期費用結構，供委員參考與討論。

### 總結  
本會議聚焦於IRM單位未來運作所產生之持續性費用，並提出應透過計畫申請方式支撐其長期營運，以確保機構穩定發展。",2025-09-11 16:37:18,洪顧問提出翻譯與聾人協會口譯等經費需求，建議未來透過申請計畫支撐委員會長期運作。,,,
5,田君陽：我是公都盟副執行長田君陽，我簡單說明一下，如果有其他補充的話，也歡迎阿端再做補充。第一件事情就是我們上禮拜我有跟阿端討論過，目前有兩個一定會要寫的IRM，就是立法院本身自己，即公部門這邊，他們會有一個由院長這邊領銜的獨立研究報告的撰寫，這是立法院官方的。另外一部分是民間版的影子報告，就是說我們針對民間版的意見，我們這邊也獨立撰寫一個獨立的IRM。我先就民間版開始說明，上次討論的結果大概是這個報告期間，第一期要完成報告遞交的時間是行動方案開始之後到首年的結束，也就是說，假設我們是明年1月1號正式把這個行動方案提交出去，我們會在第一年，就是明年12月31號前完成第一份IRM報告的提交。另外一部分是第二期的報告是每兩年一次的末段會有第二份報告去做第二次提交，也就是說在這兩個單位分別在IRM撰寫的內容之內會有四份報告需要提交。我們初步評估的經費預算大概每年是30至50萬左右，這部分的話我們有討論就是會用申請企劃的方式向民主基金會申請補足，這部分我們就看是由哪個單位領銜提出，這是我們目前的評估。有可能不是申請一次，例如同一年的50萬我們可能會拆成兩個，當然還是希望一次就可以申請到50萬為目標，,503,"## 會議記錄整理

### 核心要點  
1. 民間版IRM報告分兩期遞交 — 第一期於行動方案首年結束前（明年12月31日）完成，第二期每兩年一次，共需提交四份報告。  
2. IRM報告由立法院官方與民間影子報告兩大類別組成，其中民間版由公都盟主導獨立撰寫。  
3. 每年IRM撰寫經費預算為30至50萬元，目標一次申請50萬元，目前評估以企劃方式向民主基金會申請補助。  
4. 經費申請由某單位領銜提出，是否拆分申請（如同一年拆為兩次）將視實際情況調整，但優先目標為一次申請到位。  
5. 上週已與阿端討論確認報告時程與內容框架，為後續執行奠定基礎。

### 決策事項  
- 確定民間版IRM報告分兩期遞交，第一期於行動方案首年結束前完成，第二期每兩年一次。

### 行動項目  
- 由公都盟或指定單位領銜，擬定IRMD報告企劃書，並向民主基金會申請每年30至50萬元經費補助（目標一次申請50萬元）。  
- 明確報告遞交時程與內容框架，確保符合首年與後續兩年報告的時程要求。

### 總結  
本次會議確認民間版IRM報告的遞交時程與經費申請策略，並決議以企劃方式向民主基金會申請補助，以推動報告撰寫與執行。",2025-09-11 16:37:36,田君陽說明IRM將有官方與民間兩版，需提交四份報告，年度經費約30至50萬，規劃向民主基金會申請資助。,「IRM經費規劃：民主基金會資助為主，民間募資為輔」,,
6,"但如果補助金額不符合預期的話，我們也會規劃到第二個單位、第三個單位去申請。不過我們還是希望因為這是立法院跟民間公私協力的報告，所以能申請的補助單位如果以公部門來說其實不多，因為畢竟還有立法院立法委員，它是受監督單位，所以我們原則還是以民主基金會為主，剩下的如果不行，可能就是再用民間募資的方式去進行，這是經費的部分，以上。
主席（洪顧問慈庸）：阿端有沒有什麼建議？
吳銘軒：就是君陽講的那樣。
主席（林委員昶佐）：我想除了君陽講的IRM，就是後面的這個報告所需要的費用以外，現在立即會遇到的當然是會議開會執行的過程會需要的一些費用，雖然這些也不是說很多，包括我們剛剛說請一些像翻譯或是協助聾人協會等請來的協助人員以外，可能都是這一類的，其實應該也不算太多，但是是不是說我們有一種可能性是把它整體包成一個計畫，然後一起去申請，而不只是針對IRM的部分？",375,"## 會議記錄整理

### 核心要點  
1. **經費主軸以民主基金會為主** - 原則上優先申請民主基金會補助，因立法院監督體系限制公部門參與，民間公私協力模式為主要經費來源。  
2. **備選經費路徑為民間募資** - 若民主基金會補助不足或未通過，將轉向民間募資作為補充經費。  
3. **會議執行所需費用應整合申請** - 主張將會議運作相關開支（如翻譯、聾人協會協助等）與IRM報告費用整體規劃為一計畫申請，提升申請效率與可行性。  
4. **限制公部門補助參與** - 因立法院立法委員屬受監督單位，公部門申請補助機會有限，原則上不視為主要申請對象。  
5. **強調實際執行成本與需求** - 會議過程中的實際開支雖不大，但具備必要性，需納入整體計畫考量以確保執行可行性。

### 決策事項  
- 以民主基金會為主要補助申請單位，公部門補助原則上不予採納。

### 行動項目  
- 整合IRM報告與會議執行相關開支，規劃為一完整計畫以申請補助。  
- 評估並準備民間募資方案作為備援經費來源。

### 總結  
本次會議確認以民主基金會為主軸申請補助，並規劃整合性計畫涵蓋會議執行成本，同時備妥民間募資作為應變方案。",2025-09-11 16:37:52,討論經費來源，首選民主基金會補助，不足則考慮民間募資；主席建議將IRM與會議相關費用整合成整體計畫申請。,,,
7,耿璐：大家好，我是開放文化基金會的Lulu。我也還沒有仔細研究別的國家，不過因為畢竟這是公私協力，所以對我來說，似乎應該是公部門出一半、私部門出一半，如果是民間申請的計畫，但是要全部cover所有的費用，對我來說有點奇怪，而且其實我們去申請計畫不是一件很容易的事情，也要花費很多心力，所以如果只是全部統包由民間出這個費用，好像有點……對我來說，真的是邏輯上有點怪。,182,"## 會議記錄整理

### 核心要點  
1. 公私協力計畫應採公私各負一半費用 - 耿璐提出，公部門與私部門應共同承擔計畫經費，認為若全部由民間負擔，邏輯上不成立且不公平。  
2. 民間申請計畫需投入大量心力與資源 - 強調申請過程繁複耗時，若僅由民間全額承擔費用，將增加不實負擔。  
3. 全額由民間承擔費用存在邏輯問題 - 耿璐認為此模式在公私協力架構下不合理，缺乏公部門的參與與支持。  
4. 費用分擔應反映雙方投入與責任 - 建議費用分攤應基於雙方實際參與程度與資源投入，避免單方面負擔。  
5. 建議重新審視計畫經費負擔機制 - 強調需檢視現行費用承擔模式，確保公私協力的公平性與可行性。

### 決策事項  
- 未形成明確決策，僅提出費用分攤應公私各半的建議，待進一步討論與確認。

### 行動項目  
- 耿璐將整理公私協力計畫經費分攤的現行案例，提供給團隊參考與討論。

### 總結  
本次會議聚焦於公私協力計畫中費用負擔的公平性與合理性，強調應由公私部門共同承擔經費，避免單方面全額由民間負擔。",2025-09-11 16:38:08,耿璐認為經費應由公私部門各自分擔，全部仰賴民間計畫申請不僅負擔沉重，也欠缺合理性。,,,
8,田君陽：我提一個想法，其實IRM很注重利益迴避或利益衝突這件事，就連我剛剛提的那個方案應該是不能以公督盟的身分去提出，或是公督盟去申請之後，我們是要完全委託例如學術單位或第三方單位去撰寫，因為它會有一個狀況就是因為公督盟是委員本身在評價這個IRM的部分就會有實質的利益衝突，所以在手冊上面是不能這麼做的。我們在這部分還是思考一下，我覺得有兩塊，一個是立法院這邊是不是在明年之後就會有一些公務預算可以進行支應，但是支應的部分應該就是以開會這部分為主。如果是民間的部分，我還是建議分開，然後去執行跟分別募款。這可能真的還要花一點時間討論一下，因為畢竟帳目的事情到最後可能會衍生了一些討論或問題，我覺得這部分大家可以再想想。我的建議是分開，一部分是用公務預算去支應，但公務預算可能最快也是到明年，今年因為已經來不及了，所以上次例如說像國會頻道的經驗來講，前幾年其實都是民間自主，因為公務預算也不會在短期內可以支應，所以前期大部分都還是要靠民間或我們另尋其他募款的方式去執行，所以至少到明年前半年，我想這個預算可能……,455,"## 會議記錄整理

### 核心要點  
1. **利益迴避原則應嚴格執行** - 公督盟不得以自身身份參與IRM方案評估或申請，須委託學術單位或第三方獨立撰寫，避免評估者與被評估者之間產生實質利益衝突。  
2. **公務預算支應時間表明確** - 明年才可能有公務預算支持IRM運作，今年及明年前半年仍需依賴民間自主與另尋募款方式執行。  
3. **IRM執行應分開民間與公務財源** - 建議將民間執行與公務預算支應分開，避免財務混同與後續爭議，提升透明度與公信力。  
4. **前期執行仍需民間自主** - 因公務預算短期內無法到位，過去如國會頻道經驗顯示，前期應以民間自主與多元募款為主，確保計畫持續推動。  
5. **需進一步討論帳務與財務安排** - 財務結構可能引發後續爭議，建議團隊花時間深入討論財務模式與帳務分離機制，以預防未來風險。

### 決策事項  
- 無明確決策內容（僅提出原則與建議）

### 行動項目  
- 建議成立小組專責討論IRM執行模式與財務分離機制，特別是民間與公務預算的分工與帳務安排。  
- 該小組應於下一次會議前提出具體執行架構與時間表建議。

### 總結  
會議聚焦於IRM執行中利益迴避與財務獨立的關鍵問題，強調前期應依賴民間自主，並規劃明後年公務預算介入的時程與分離執行模式。",2025-09-11 16:38:28,田君陽指出IRM須避免利益衝突，建議民間與立法院經費分開處理，短期仍以民間募資支應，公務預算最快明年才能到位。,,,
9,"如果向民主基金會申請會是比較快的，它是一年有四期，所以我們最快大概應該可以在今年年底遞件，明年初應該錢就下來，現在要討論的就是到底民間申請了這個東西是大家一起用，還是分開兩個帳目去管理，我覺得這是要討論的。第二件事情，其實這個會議應該是大家一起的，所以我覺得還是由公務預算去支應，好像比較適合，只是說評委的部分，參與會議就不適宜支領什麼其他的費用，主要還是以一些行政費用支出為標準，以上。
周韻采：我記得上次好像有說是要聘一位助理，是不是？所以這個費用也是包含在是上次……
田君陽：對，這個部分是IRM，它最少最少要有一個獨立的研究員去撰寫這個報告，那就是民間……
周韻采：可是這樣50萬夠嗎？還有一個助理的費用。
田君陽：對，我們當初估是半年期的研究助理，然後再加上一些訪談，或者是一些策製的費用，所以我們是用最保守的估計去算30到50萬，如果還要討論一些品質或者是研究員的一些資歷等等，當然費用就會有所調整。我們只是粗估一個最籠統的，大概一年是30到50左右，我們是以一個研究員的預算去做、去估。
周韻采：OK！那這個看看民主基金會暫時能夠支應多少，我個人是對經費的部分有一點想法，就是事實上我們現在這個開會，",507,"## 會議記錄整理

### 核心要點  
1. 民間申請資金的管理方式需決議——應由共同帳目使用，或分設獨立帳目管理，此為當前主要討論重點。  
2. 會議運作由公務預算支應，評委參與僅得行政費用，不應支領其他報酬。  
3. 研究團隊配置需至少一名獨立研究員，並預計一年經費為30至50萬，為保守估計。  
4. 經費範圍需進一步確認民主基金會實際支應能力，並評估助理與訪談等附加開支。  
5. 原有研究助理與策製費用已納入初步預算，未來若提升品質或調整資歷要求，費用將隨之調整。

### 決策事項  
- 民間申請資金應採共同帳目或分開帳目管理，需於下次會議決議。

### 行動項目  
- 由負責人確認民主基金會可支應之經費範圍，並回覆至會議小組。  
- 詳細釐清研究員資歷與助理人力需求，作為未來預算調整依據。

### 總結  
會議聚焦於民間申請資金的管理模式、經費預算合理性及運作成本，並決議需進一步確認經費支應與管理方式。",2025-09-11 16:38:42,討論經費來源與用途，建議由公務預算支應會議行政費用，民間則申請民主基金會資助研究員與助理，全年預估需30至50萬。,,,
10,"也都沒有支薪，大家都是義務參與，這個會議所衍生的一些庶務或行政費用。還有你剛剛講的研究員這個部分，我會建議應該是要用立法院的公務預算來支出。那現在這幾個月，也許短期可以看看院長在秘書處可能會有一些額度，因為我們其實除了手譯的費用或是設置中，應該暫時還沒有那麼那個，而且可能是具體要實行的時候，就是明年的時候才會有比較多的費用。我覺得民主基金會的這個部分，因為跟它的宗旨，其實它過去也獎助滿多有關於民主發展的研究，我會建議就是我們未來有一些相關的研究或是需要比較長期投入的，就是它是可以變成一個project的那種部分，可能在這個中間大家討論出來幾個子項目、子題，然後去統包跟民主基金會申請，而不是用民主基金會的經費來支應這個會議的日常庶務的運作，我覺得這樣會比較得當。
彭啟明：因為民主基金會董事長也是游院長，所以如果這個OSM是由他來支持的話，這個國際上IRM可能也不會說很糟糕啦，就是會留下一點點小辮子的感覺。我同意周執行長說的，就是可能那個研究員用一個什麼名義上，由他來支援做這個事，但庶務上可能還是獨立，可能去募款看預算多少，多或少的問題而已，但是那個人來支援可能是額外某一種計畫來做這個事，所以我建議可以切開來。謝謝。",514,"## 會議記錄整理

### 核心要點  
1. 會議庶務與行政費用應獨立於民主基金會經費，建議透過募款或院長秘書處短期額度支應 — 簡要說明：為避免與民主基金會宗旨混淆，日常運作費用應另設預算，不動用其主體經費。  
2. 研究員的聘任應以獨立計畫名義由民主基金會（透過游院長）支援，而非直接列為會議日常開支 — 簡要說明：可設立專項研究計畫，由民主基金會提供研究員資源，維持名譽與透明度。  
3. 未來具長期性之民主發展研究，應規劃子項目並統包申請民主基金會經費 — 簡要說明：建議針對具體研究主題設計子題，以專案方式申請，提升資金運用效率與合規性。  
4. 會議運作應分離「研究支援」與「庶務行政」兩類功能 — 簡要說明：研究部分可由民主基金會支援，行政部分則獨立運作，避免權責重疊與政治評價風險。  
5. 短期可依賴院長秘書處臨時額度，明年度才會有較穩定支出需求 — 簡要說明：目前費用尚不龐大，短期可依現有資源調度，長期需規劃穩定財源。

### 決策事項  
- 不採用民主基金會經費支應會議日常庶務與行政開支，應另設獨立預算或透過募款解決。

### 行動項目  
- 設計具體民主發展研究子題，規劃成專案，提交民主基金會申請支援。  
- 明確區分研究員支援（專案計畫）與庶務運作（獨立預算），並建立相關流程文件。  
- 評估院長秘書處是否可提供短期額度，作為未來運作的臨時支應。

### 總結  
會議決議將研究與行政分離，建議以專案方式申請民主基金會資源，日常庶務獨立運作並另尋預算來源。",2025-09-11 16:39:05,周韻采建議研究員經費應由立法院公務預算支應，民主基金會則適合支持長期研究專案；彭啟明補充，研究員可透過特定計畫支援，庶務則另行籌款，兩者應切開處理。,「會議決議：庶務由立院支應，IRM經費由民間申請」,,
